已排时间地点,调课结果
"1-16周 星期三 6-7节 工训楼306,1-16周 星期三 3-5节 文萃楼I401",
"1-16周 星期一 6-7节 文萃楼I702,1-16周 星期三 3-5节 文萃楼I702",
"1-8周 星期一 6-7节 文萃楼I705,1-8周 星期三 8-9节 文萃楼I705",调课:8周 星期3 8-9节 王国新/6120104469 文萃楼I705 调至:8周 星期3 8-9节 王国新/6120104469
"1-8周 星期二 6-7节 文萃楼F502,1-8周 星期四 6-7节 文萃楼F502",
"1-11周 星期二 11-12节 文萃楼I702,1-11周 星期五 11-12节 文萃楼I702",调课:6周 星期5 11-12节 田冉/6120200104 文萃楼I702 调至:6周 星期5 11-12节 田冉/6120200104
"9-16周 星期三 3-4节 文萃楼B129,9-16周 星期五 3-4节 文萃楼B129",
"4-11周 星期三 6-7节 文萃楼F403,4-11周 星期五 6-7节 文萃楼F403",调课:4周 星期5 6-7节 李弘恺/6120190006 文萃楼F403 调至:4周 星期5 6-7节 李弘恺/6120190006 综教A204
"1-8周 星期一 8-9节 理教楼109,1-8周 星期五 6-7节 文萃楼I601",
"1-16周 星期一 6-7节 理教楼109,1-16周 星期五 8-9节 文萃楼I601",
"5-16周 星期三 6-7节 文萃楼F301,5-16周 星期五 6-7节 文萃楼F301",
7-14周 星期一 6-8节 文萃楼B222,
"1-8周 星期二 8-10节 文萃楼G223,1-8周 星期四 8-10节 文萃楼G223",调课:8周 星期2 8-10节 黄杰/6120103902 文萃楼G223 调至:8周 星期2 8-10节 黄杰/6120103902
"5-16周 星期三 6-7节 文萃楼I103,5-16周 星期五 6-7节 文萃楼I103",
"1-16周 星期二 6-7节 文萃楼I404,1-16周 星期五 3-4节 文萃楼I404","调课:8周 星期2 6-7节 解丽静/6120100703 文萃楼I404 调至:8周 星期2 6-7节 解丽静/6120100703 ,调课:6周 星期5 3-4节 解丽静/6120100703 文萃楼I404 调至:6周 星期5 3-4节 解丽静/6120100703 文萃楼I403,调课:3周 星期2 6-7节 解丽静/6120100703 文萃楼I404 调至:3周 星期2 6-7节 解丽静/6120100703 工训楼主101,调课:9周 星期2 6-7节 解丽静/6120100703 文萃楼I404 调至:9周 星期2 6-7节 解丽静/6120100703 文萃楼F101"
"1-16周 星期二 3-4节 文萃楼I704,1-16周 星期四 3-4节 文萃楼I704","调课:8周 星期2 3-4节 刘波澜/6120103689,王恩华/6120160132 文萃楼I704 调至:8周 星期2 3-4节 刘波澜/6120103689,王恩华/6120160132 ,调课:9-10周 星期4 3-4节 刘波澜/6120103689,王恩华/6120160132 文萃楼I704 调至:9-10周 星期4 3-4节 刘波澜/6120103689,王恩华/6120160132 工训楼315,调课:9-10周 星期2 3-4节 刘波澜/6120103689,王恩华/6120160132 文萃楼I704 调至:9-10周 星期2 3-4节 刘波澜/6120103689,王恩华/6120160132 工训楼315"
"1-16周 星期二 6-7节 文萃楼I604,1-16周 星期四 8-9节 文萃楼I604",
1-12周 星期四 11-13节 文萃楼I304,
6-16周 星期一 11-13节 文萃楼I602,
2-12周 星期三 11-13节 文萃楼B233,
"4-9周 星期二 11-13节 文萃楼I602,4-9周 星期四 11-13节 文萃楼I602",
1-11周 星期一 11-13节 文萃楼I704,
